Brand,Project,Location,Floor,Type,Time,Map,,,,,,,,,
Café Amazon,"A.P.N. Petroleum Co., Ltd. Service Station",Chonburi,,,,"https://maps.apple.com/?q=%E0%B8%AA%E0%B8%96%E0%B8%B2%E0%B8%99%E0%B8%B5%E0%B8%9A%E0%B8%A3%E0%B8%B4%E0%B8%81%E0%B8%B2%E0%B8%A3%20%E0%B8%9A%E0%B8%88.%E0%B9%80%E0%B8%AD.%E0% B8%9E%E0%B8%B5.%E0%B9%80%E0%B8%AD%E0%B9%87%E0%B8%99.%E0%B8%9B%E0%B8%B4%E0%B9%82%E0%B8 %95%E0%B8%A3%E0%B9%80%E0%B8%A5%E0%B8%B5%E0%B8%A2%E0%B8%A1&ll=13.30899000,101.11970000",,,,,,,,,
Café Amazon,"A.Petroleum Co., Ltd. Service Station",Phrae,,,,"https://maps.apple.com/?q=%E0%B8%AA%E0%B8%96%E0%B8%B2%E0%B8%99%E0%B8%B5%E0%B8%9A%E0%B8%A3%E0%B8%B4%E0%B8%81%E0%B8%B2%E0%B8%A3%20%E0%B8%9A%E0%B8 %88.%E0%B9%80%E0%B8%AD%20%E0%B8%9B%E0%B8%B4%E0%B9%82%E0%B8%95%E0%B8%A3% E0%B9%80%E0%B8%A5%E0%B8%B5%E0%B8%A2%E0%B8%A1&ll=18.13483570,100.12685200",,,,,,,,,
Café Amazon,"A.Petroleum Co., Ltd. Service Station",Uttaradit,,,,"https://maps.apple.com/?q=%E0%B8%AA%E0%B8%96%E0%B8%B2%E0%B8%99%E0%B8%B5%E0%B8%9A%E0%B8%A3%E0%B8%B4%E0%B8%81%E0%B8%B2%E0%B8%A3%20%E0%B8%9A%E0%B8 %88.%E0%B9%80%E0%B8%AD%20%E0%B8%9B%E0%B8%B4%E0%B9%82%E0%B8%95%E0%B8%A3% E0%B9%80%E0%B8%A5%E0%B8%B5%E0%B8%A2%E0%B8%A1&ll=17.64750280,100.05799300",,,,,,,,,
Café Amazon,"A.Porchaiwat Co., Ltd.",Ang Thong,,,,"https://maps.apple.com/?q=%E0%B8%9A%E0%B8%88%E0%B8%81.%E0%B8%AD.%E0%B8%9E%E0%B8%A3%E0%B8%8A%E0%B8%B1%E0%B8%A2%E0%B8%A7%E0%B8%B1%E0%B8%92%E0%B8%99%E0%B9%8C&ll=14.60164200,100.38517900",,,,,,,,,
Café Amazon,"A.Porchaiwat Co., Ltd. (Branch 1)",Ang Thong,,,,"https://maps.apple.com/?q=%E0%B8%9A%E0%B8%88%E0%B8%81.%E0%B8%AD.%E0%B8%9E%E0%B8%A3%E0%B8%8A%E0%B8%B1%E0%B8%A2%E0%B8%A7%E0%B8%B1%E0%B8%92%E0%B8%99%E0%B9%8C%20%28%E0%B8%AA%E0%B8%B2%E0%B8%82%E0%B8%B2%201%29&ll=14.55602800,100.20331300",,,,,,,,,
Café Amazon,"A.T. Bo Thong Petroleum Co., Ltd.",Chonburi,,,,"https://maps.apple.com/?q=%E0%B8%AA%E0%B8%99.%20%E0%B8%9A%E0%B8%88.%20%E0%B9%80%E0%B8%AD.%E0%B8%97%E0%B8%B5.%E0%B8%9A%E0%B9%88%E0%B8%AD%E0%B8 %97%E0%B8%AD%E0%B8%87%20%E0%B8%9B%E0%B8%B4%E0%B9%82%E0%B8%95%E0%B8%A3%E 0%B9%80%E0%B8%A5%E0%B8%B5%E0%B8%A2%E0%B8%A1&ll=13.28736420,101.39113950",,,,,,,,,
Café Amazon,"A.T. Nongchak Petroleum Co., Ltd. Service Station",Chonburi,,,,"https://maps.apple.com/?q=%E0%B8%AA%E0%B8%96%E0%B8%B2%E0%B8%99%E0%B8%B5%E0%B8%9A%E0%B8%A3%E0%B8%B4%E0%B8%81%E0%B8%B2%E0%B8%A3%20%E0%B8%9A%E0%B8%88.%E0%B9%80%E0%B8%AD.%E0%B8%97%E0%B8%B5.% 20%E0%B8%AB%E0%B8%99%E0%B8%AD%E0%B8%87%E0%B8%8A%E0%B8%B2%E0%B8%81%20%E0%B8%9B%E0%B8%B4%E0%B9% 82%E0%B8%95%E0%B8%A3%E0%B9%80%E0%B8%A5%E0%B8%B5%E0%B8%A2%E0%B8%A1&ll=13.28349900,101.18854100",,,,,,,,,
Café Amazon,"A.T. Petroleum Co., Ltd.",Chonburi,,,,"https://maps.apple.com/?q=%E0%B8%AA%E0%B8%99.%E0%B8%9A%E0%B8%88%E0%B8%81.%E0%B9%80%E0%B8%AD.%E0%B8%97%E0%B8%B5.%E0%B8%9B%E0%B8%B4%E0%B9%82%E0%B8%95%E0%B8%A3%E0%B9%80%E0%B8%A5%E0%B8%B5%E0%B8%A2%E0%B8%A1&ll=13.16260600,101.28363600",,,,,,,,,
Café Amazon,AB Motorbike,Buriram,,,,"https://maps.apple.com/?q=%E0%B9%80%E0%B8%AD%E0%B8%9A%E0%B8%B5%E0%B8%A1%E0%B8%AD%E0%B9%80%E0%B8%95%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B9%84%E0%B8%9A%E0%B8%84%E0%B9%8C&ll=14.98954300,103.08988900",,,,,,,,,
Café Amazon,"ABAC MALL Project, Assumption University, Suvarnabhumi Campus",Samut Prakan,,,,"https://maps.apple.com/?q=%E0%B9%82%E0%B8%84%E0%B8%A3%E0%B8%87%E0%B8%81%E0%B8%B2%E0%B8%A3%20%20ABAC%20MALL%20%20%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%A7%E0%B8%B4%E0%B8%97%E0%B8%A2%E0%B8%B2%E0%B8%A5%E0%B8%B1%E0%B8%A2%E0%B8%AD%E0%B8%B1%E0%B8%AA%E0%B8 %AA%E0%B8%B1%E0%B8%A1%E0%B8%8A%E0%B8%B1%E0%B8%8D%20%20%E0%B8% A7%E0%B8%B4%E0%B8%97%E0%B8%A2%E0%B8%B2%E0%B9%80%E0%B8%82%E0%B 8%95%E0%B8%AA%E0%B8%B8%E0%B8%A7%E0%B8%A3%E0%B8%A3%E0%B8%93%E0 %B8%A0%E0%B8%B9%E0%B8%A1%E0%B8%B4&ll=13.61266000,100.83295000",,,,,,,,,
Café Amazon,Abdul Rahim Place Building,Bangkok,,,,"https://maps.apple.com/?q=%E0%B8%AD%E0%B8%B2%E0%B8%84%E0%B8%B2%E0%B8%A3%E0%B8%AD%E0%B8%B1%E0%B8%9A%E0%B8%94%E0%B8%B8%E0%B8%A5%E0%B8%A3%E0%B8%B2%E0%B8%AE%E0%B8%B4%E0%B8%A1%20%E0%B9%80%E0%B8%9E%E0%B8%A5%E0%B8%AA&ll=13.72742800,100.53959600",,,,,,,,,
Café Amazon,About Food Srisaman,Nonthaburi,,,,"https://maps.apple.com/?q=About%20Food%20%E0%B8%A8%E0%B8%A3%E0%B8%B5%E0%B8%AA%E0%B8%A1%E0%B8%B2%E0%B8%99&ll=13.93537700,100.56344800",,,,,,,,,
Café Amazon,AC Market Sai Mai,Bangkok,,,,"https://maps.apple.com/?q=%E0%B8%95%E0%B8%A5%E0%B8%B2%E0%B8%94%E0%B9%80%E0%B8%AD%E0%B8%8B%E0%B8%B5%20%E0%B8%AA%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%AB%E0%B8%A1&ll=13.92216800,100.64366000",,,,,,,,,
